,販売実績額
457,4068113600
458,4984605200
459,4162624600
460,4254809600
461,4172781400
462,5062025400
463,5221637000
464,4125691800
465,4253233600
466,4701088400
467,4150786200
468,4963540000
469,4224938000
470,5091287200
471,4217066400
472,4824856400
473,4205420600
474,4178143000
475,4221696200
476,4280693000
477,4373699200
478,4780609400
479,4221940400
480,5826959600
481,4503051800
482,4396881000
483,4995173200
484,4334950600
485,5734843800
486,4356876200
487,4229632600
488,5000079600
489,4140119200
490,4207344000
491,4218223800
492,4280759000
493,4193780000
494,4785185400
495,4104305200
496,4170317200
497,4054963800
498,4077945000
499,4014171600
500,3950748400
501,5256859000
502,4117587200
503,4083376600
504,5211410800
505,4047178800
506,3853783000
507,4403541400
508,3824041800
509,3645767200
510,3823848200
511,3929012200
512,4620445000
513,6118856400
514,5207865800
515,3900250400
516,4029612400
517,4016081000
518,3891367400
519,5101799400
520,5113014600
521,4072971200
522,4084806600
523,4688760000
524,4047588800
525,4046460600
526,4017465800
527,4129088000
528,4065715200
529,4010056800
530,3511325400
531,3966120200
532,3951284200
533,4001708600
534,5317186200
535,4104006600
536,4087150400
537,4038943800
538,3981610400
539,3896213200
540,3252503800
541,3506903000
542,3675407600
543,2528451600
544,3179771800
545,2553663800
546,2855948400
547,3317330600
548,3340754800
549,2621117600
550,2896640400
551,2580018800
552,2462923000
553,2516760600
554,3193479400
555,2526526800
556,2683261200
557,2374255600
558,2685614800
559,2350103000
560,2629227400
561,2688839400
562,2607767600
563,2333093600
564,2629029400
565,2398772200
566,2570635200
567,2682064600
568,3374794000
569,2418285600
570,3285561000
571,2383313800
572,2544511200
573,2114056200
574,2977720000
575,2616863200
576,2565807600
577,2594173400
578,2481552200
579,2909565400
580,2402043600
581,2361356000
582,2535885200
583,2342104800
584,3150015600
585,2420096200
586,3312974400
587,2387029200
588,2621781800
589,2683774600
590,2575433000
591,2451611600
592,2429672600
593,2365662400
594,2520201800
595,3006731400
596,2478940200
597,2196126400
598,2437342200
599,2958647400
600,2488976800
601,3045438200
602,4104597200
603,3608143800
604,2566691200
605,2539296400
606,2623625800
607,2444465800
608,2524988600
609,2346419600
610,2973558000
611,2388521800
612,2518025600
613,3023480800
614,2464847600
615,2426227000
616,2591177600
617,2675348000
618,2628625000
619,2443931000
620,3376875800
621,2998503800
622,2403958000
623,2586897600
624,3270985600
625,2567868800
626,2425717600
627,2541907200
628,2737529600
629,2507294600
630,2696189000
631,2507843800
632,3129084000
633,2520934200
634,2448662200
635,2430037800
636,3032717600
637,3758444200
638,2382720600
639,2499213400
640,2312313200
641,2393308000
642,2847323400
643,2349115400
